 RowID,OrderID,OrderQuantity,Sales,Discount,Profit,UnitPrice,ShippingCost
-1.163964,-1.170625,-0.382685,-0.629356,-0.069672,-0.291608,-0.483244,-0.550325
-1.114975,-1.126208,1.383752,-0.231887,-0.615101,0.281220,-0.351216,-0.656858
-1.105044,-1.111495,1.242437,0.398504,-0.342386,0.029426,-0.108643,0.636046
-1.104382,-1.111495,-1.089260,-0.506196,5.384623,-0.648832,-0.226217,3.022174
-0.952119,-0.963161,0.889149,0.182294,0.475758,-1.594349,-0.128615,3.320580
-0.946823,-0.960015,1.595724,0.666238,1.021187,-0.235678,-0.029227,0.846882
-0.929610,-0.942896,0.253232,2.723484,1.021187,2.224772,1.479661,0.623775
-0.677382,-0.670010,1.242437,0.269934,0.748473,-0.556014,-0.143387,1.382896
-0.582052,-0.572200,-1.513204,-0.534628,1.021187,-0.543777,-0.108643,2.374049
-0.581390,-0.572200,1.030464,-0.463252,-0.342386,-0.256193,-0.430274,-0.241322
-0.566826,-0.560356,-0.312028,0.859130,-0.887816,1.104855,0.587114,0.539552
-0.456931,-0.441818,-1.583862,-0.362591,-0.342386,-0.492335,0.685509,2.784008
-0.407942,-0.385927,0.606520,0.143107,0.748473,0.248129,-0.103401,0.359393
-0.360939,-0.338364,0.677177,2.235698,-0.887816,1.783959,0.764924,2.461618
-0.313936,-0.299684,0.394547,0.444434,-1.433245,-0.494006,0.050188,2.156519
-0.313274,-0.299684,1.242437,1.738334,-1.160531,2.197642,0.356333,0.180908
-0.256340,-0.246754,0.182575,0.824531,-1.160531,-0.271903,0.531166,2.673012
-0.253030,-0.243423,-0.100055,-0.460682,1.021187,-0.327348,-0.374683,0.288557
-0.168954,-0.158198,-0.806630,-0.302290,1.021187,-0.001000,-0.091330,0.539552
-0.165644,-0.154589,-1.442547,-0.434289,-1.433245,-0.400973,0.071471,1.613812
-0.124599,-0.113318,-0.029398,0.450157,-0.069672,-0.212809,0.202308,0.802818
-0.111359,-0.098975,-0.241370,0.452672,-1.160531,1.306435,0.261909,-0.182756
-0.065680,-0.062979,-0.170713,0.623599,-0.342386,0.491350,0.390442,0.744253
-0.061708,-0.057520,0.535862,-0.646597,0.748473,-0.389797,-0.501351,-0.529130
-0.025297,-0.021894,-0.524000,0.597438,-0.887816,-0.411813,0.566386,1.962416
0.111741,0.111635,0.535862,0.610095,1.021187,-1.074258,0.169311,2.547514
0.150137,0.152998,0.041260,-0.286999,0.475758,-0.646756,-0.278750,1.215566
0.178604,0.179555,1.101122,-0.596752,-0.615101,-0.305339,-0.483244,-0.550325
0.188534,0.188716,-0.594657,0.432594,-0.887816,0.204215,0.459176,1.589828
0.189196,0.188716,1.101122,-0.246649,-0.887816,-0.180285,-0.350859,-0.313274
-1.220235,-1.218003,-1.442547,-0.602001,-0.342386,-0.451784,-0.354988,1.125766
-1.188458,-1.191167,1.595724,1.746770,0.475758,0.042002,0.316943,2.967513
-1.187796,-1.191167,0.041260,-0.606043,-1.160531,-0.260499,-0.475104,-0.659647
-1.164626,-1.170625,-0.524000,-0.570388,0.748473,-0.272102,-0.423127,-0.495106
-1.156682,-1.161556,-1.018602,-0.642015,-0.615101,-0.334631,-0.480623,-0.395823
-1.156020,-1.161556,-0.312028,-0.448725,1.021187,-0.200903,-0.339820,-0.479488
-1.152709,-1.158780,-0.382685,-0.001730,0.475758,-0.806461,0.038911,1.125766
-1.150061,-1.155541,1.242437,-0.609892,0.475758,-0.461430,-0.489835,-0.361800
-1.136821,-1.143604,1.313094,-0.617409,-1.160531,-0.417641,-0.492615,-0.481720
-1.136159,-1.143604,0.394547,-0.634627,-0.342386,-0.305413,-0.493925,-0.714866
-1.132187,-1.137960,0.394547,-0.493560,-1.433245,-0.195737,-0.423127,-0.495106
-1.122257,-1.131945,-0.806630,-0.645095,-0.887816,-0.298338,-0.488644,-0.659647
-1.114313,-1.125930,-0.735972,-0.605164,0.475758,-0.225847,-0.447110,-0.748890
-1.079888,-1.087621,-0.947945,-0.650234,1.293902,-0.275060,-0.494958,-0.798531
-1.079226,-1.087621,-0.382685,-0.641077,-0.069672,-0.299114,-0.490908,-0.787376
-1.069295,-1.075869,0.465205,-0.542388,1.293902,-0.422078,-0.446117,-0.091282
-1.067971,-1.075776,0.253232,-0.645026,1.021187,-0.290630,-0.498174,-0.787376
-1.056055,-1.060785,-0.241370,-0.648279,0.203043,-0.291263,-0.498333,-0.774547
-1.051421,-1.052457,0.111917,-0.576054,-0.342386,-0.298878,-0.456084,-0.574867
-1.002432,-1.007763,1.595724,-0.598081,0.748473,-0.264206,-0.485468,-0.761161
-1.001108,-1.007578,-0.382685,-0.462959,0.203043,-0.270093,-0.346848,0.288557
-0.981247,-0.983981,0.889149,-0.597112,-0.615101,-0.191845,-0.480584,-0.799089
-0.947485,-0.960015,1.454409,-0.618643,-1.433245,-0.468721,-0.494164,-0.435425
-0.946161,-0.960015,-0.594657,-0.543386,1.293902,-0.207349,-0.386596,-0.505146
-0.909088,-0.919207,-1.513204,-0.654133,0.203043,-0.303576,-0.478479,-0.563711
-0.881283,-0.892186,-0.382685,-0.562516,-1.433245,-0.256348,-0.434284,-0.322756
-0.819716,-0.835925,-1.513204,-0.660778,-1.160531,-0.293897,-0.498174,-0.798531
-0.786615,-0.791508,-1.230575,-0.642965,0.203043,-0.571275,-0.491821,1.906640
-0.777347,-0.785586,1.666382,-0.619557,-0.615101,-0.231616,-0.494719,-0.798531
-0.776685,-0.785586,-1.654519,-0.652483,0.475758,-0.301034,-0.460849,-0.465544
-1.167936,-1.173586,0.253232,0.518432,0.748473,0.587369,0.268619,-0.603871
-1.131525,-1.137960,0.323890,-0.313143,-0.342386,-0.210645,-0.319093,-0.625066
-1.086508,-1.093913,-0.806630,-0.465440,0.203043,-0.303464,-0.247579,-0.533034
-1.085846,-1.093913,-0.594657,-0.073397,-1.160531,-0.064128,0.109789,-0.324987
-1.068633,-1.075869,0.818492,-0.620234,-0.069672,-0.401232,-0.490193,-0.551440
-1.055393,-1.055326,-0.100055,2.200546,-1.160531,-0.697815,1.277192,1.906640
-1.001770,-1.007578,-1.159917,-0.648446,-1.160531,-0.328738,-0.485865,-0.582118
-0.980585,-0.983981,-0.170713,-0.562822,-1.160531,-0.352968,-0.426264,-0.686978
-0.968669,-0.974820,0.041260,-0.407423,0.748473,-0.108954,-0.346968,-0.715424
-0.838914,-0.856653,-1.301232,-0.468922,-1.433245,-0.427466,-0.049041,-0.686978
-0.778009,-0.785586,-1.089260,-0.376088,-0.342386,-0.371576,-0.009334,-0.397497
-0.776023,-0.785586,0.253232,0.348672,-1.160531,0.526092,0.109789,-0.324987
-0.734316,-0.726364,1.101122,-0.358149,1.293902,0.083399,-0.383419,-0.715424
-0.700553,-0.699436,-1.301232,-0.649558,-1.433245,-0.331899,-0.477883,-0.545863
-0.676720,-0.670010,-0.100055,-0.251448,0.475758,-0.491345,-0.168164,-0.771201
-0.582714,-0.572200,0.394547,-0.351985,-1.433245,0.004938,-0.352844,-0.715424
-0.312612,-0.299684,0.535862,-0.281287,1.021187,-0.355324,-0.307181,-0.463871
-0.219267,-0.205483,-0.877287,-0.385622,-0.342386,-0.291762,-0.128457,-0.324987
-0.112021,-0.098975,1.383752,1.243402,-0.887816,1.421376,0.288473,-0.375744
-0.088850,-0.081116,-0.100055,0.054858,-0.342386,0.638936,-0.029267,-0.429847
-0.077596,-0.069087,-1.018602,4.594514,0.203043,3.621316,7.185800,-0.046103
-0.049129,-0.042714,1.242437,4.458110,0.203043,0.632652,1.475730,0.539552
-0.000802,0.010586,1.595724,-0.588373,1.293902,-0.413301,-0.477883,-0.545863
0.141531,0.144392,-0.806630,-0.590252,0.475758,-0.310674,-0.426422,-0.603313
0.179266,0.179555,0.889149,0.622661,0.203043,0.403279,0.067937,0.169195
0.241496,0.256452,0.394547,-0.590116,-0.342386,-0.240365,-0.470776,-0.715424
0.249440,0.265891,-1.654519,-0.635446,1.293902,-0.382299,-0.334976,-0.715424
0.266652,0.280141,0.182575,-0.339230,0.475758,-0.430024,-0.287287,-0.547536
0.313655,0.327611,1.595724,0.806630,0.475758,1.089650,0.109789,-0.608890
0.356686,0.381004,-1.583862,0.639036,0.203043,-2.367211,4.891178,-0.006502
0.369265,0.392664,0.323890,-0.513395,1.021187,-0.411769,-0.426343,-0.463871
0.428184,0.460677,1.030464,-0.240366,1.021187,-0.478953,-0.287287,-0.547536
0.448044,0.475853,-0.806630,-0.560437,1.021187,-0.362991,-0.387588,-0.603313
0.448707,0.475853,1.595724,0.585532,-1.433245,0.783758,-0.009334,-0.375744
0.510274,0.529431,-1.230575,-0.622990,-1.433245,-0.281451,-0.426264,-0.771201
0.583758,0.600498,0.323890,-0.391951,0.203043,-0.070867,-0.353797,-0.715424
0.584420,0.603366,-1.725177,-0.654217,0.203043,-0.333925,-0.438216,-0.351760
0.640691,0.656759,0.465205,-0.532448,0.748473,-0.351422,-0.426264,-0.756699
0.736021,0.760398,0.323890,3.162450,0.475758,5.162356,1.772544,0.539552
0.769122,0.783810,0.606520,-0.267721,-0.887816,-0.025182,-0.287287,-0.642357
0.837972,0.849139,-0.947945,-0.606725,-1.433245,-0.363272,-0.426264,-0.642357
0.854522,0.860891,1.242437,-0.598579,1.293902,-0.414345,-0.477883,-0.545863
0.963755,0.964068,-0.877287,-0.028075,0.203043,0.173251,0.288394,0.043139
1.000166,1.003210,-0.029398,-0.537665,0.748473,-0.195053,-0.426661,-0.715424
1.010758,1.011539,-1.795834,-0.660200,-1.433245,-0.320872,-0.452113,-0.715424
1.011420,1.011539,0.041260,-0.023723,-0.342386,-0.000588,-0.112574,0.288557
1.017378,1.014407,1.171779,0.903838,1.021187,0.779288,0.268619,-0.603871
1.033928,1.029768,-0.170713,0.494605,-0.615101,1.140955,0.288394,0.043139
1.052465,1.050218,1.030464,0.062446,1.293902,-0.205480,-0.188097,1.047678
1.135879,1.129983,-1.654519,0.370227,1.021187,-3.057930,5.450380,0.830149
1.156401,1.153765,0.182575,-0.522979,-0.615101,-0.273537,-0.426422,-0.603313
1.165008,1.166072,-1.371890,-0.601920,0.748473,-0.338429,-0.352844,-0.715424
1.191488,1.192352,0.323890,-0.604333,0.475758,-0.278341,-0.476533,-0.715424
1.239153,1.236769,-0.029398,0.452503,-1.433245,0.599488,0.308327,-0.533034
1.241801,1.240100,-1.159917,-0.642844,1.021187,-0.368826,-0.476017,-0.324987
1.243125,1.240100,1.525067,0.790920,-0.342386,0.716858,0.109789,-0.375744
1.298073,1.290254,1.525067,-0.536103,-1.160531,-0.408671,-0.466051,-0.463871
1.298735,1.290439,-1.089260,-0.410820,0.203043,-0.388731,-0.112574,0.288557
1.300059,1.290439,1.242437,-0.479933,0.748473,-0.365756,-0.426264,-0.642357
1.321905,1.316442,0.747835,0.706137,-1.433245,1.551709,0.089895,-0.046103
1.335146,1.331340,-0.735972,-0.037627,-1.433245,-0.076248,0.205087,-0.046103
1.438420,1.435164,-0.806630,-0.468312,1.293902,-0.291636,-0.247579,-0.496221
1.460267,1.453209,0.606520,0.124295,-0.069672,0.310279,-0.049041,-0.686978
1.460929,1.453301,-1.159917,-0.651190,0.748473,-0.336163,-0.489677,-0.539727
1.505946,1.491796,1.595724,2.335277,1.021187,1.691627,0.566347,0.738675
1.629081,1.618661,0.606520,3.477033,0.748473,4.787953,1.475730,0.539552
1.666815,1.657434,0.677177,-0.198641,0.203043,0.051579,-0.247579,-0.608890
1.686676,1.675293,-1.513204,-0.624985,-0.615101,-0.377605,-0.388819,-0.343951
1.711832,1.701943,1.101122,-0.244246,0.748473,0.040206,-0.330171,-0.715424
1.779358,1.764034,-1.301232,-0.373912,-0.887816,-0.262219,0.089895,-0.046103
1.861448,1.850092,-1.654519,-0.650791,-1.160531,-0.347091,-0.426264,-0.771201
1.863434,1.852590,-0.170713,-0.342629,-1.160531,-0.132115,-0.247579,-0.533034
1.915733,1.900431,-1.583862,-0.606570,0.748473,-0.391615,-0.267473,-0.715424
1.939566,1.918105,1.525067,-0.610347,1.021187,-0.422277,-0.489835,-0.568731
1.940228,1.918105,-0.947945,-0.559751,-0.342386,-0.382447,-0.378654,-0.519648
1.941552,1.920696,0.323890,2.968253,0.203043,3.644164,1.479621,3.038907
1.960088,1.944293,1.666382,-0.461091,1.293902,-0.356642,-0.426264,-0.686978
